,experiment,hour,device_make,platform_os,browser,yes
294,exposed,2,Google,101,6,0.0
295,exposed,15,Google,101,15,1.0
296,exposed,8,Samsung,162,6,1.0
297,control,21,Apple,171,15,0.0
298,exposed,17,Google,101,6,0.0
299,exposed,9,Apple,101,15,0.0
300,exposed,3,Apple,175,7,0.0
301,exposed,17,Samsung,101,15,1.0
302,exposed,19,Samsung,162,6,0.0
303,exposed,3,Google,101,6,1.0
304,control,0,Apple,101,15,0.0
305,exposed,3,Google,101,6,1.0
306,exposed,13,Google,101,6,1.0
307,control,22,Apple,171,15,0.0
308,control,4,Apple,101,6,0.0
309,control,7,Apple,178,7,0.0
310,control,10,Samsung,101,6,0.0
311,exposed,23,Samsung,162,6,0.0
312,exposed,3,Samsung,162,6,0.0
313,exposed,14,Samsung,101,6,1.0
314,control,9,Apple,101,15,0.0
315,control,9,Apple,101,7,0.0
316,exposed,23,Samsung,101,6,0.0
317,exposed,19,Samsung,101,6,1.0
318,exposed,21,Google,101,6,1.0
319,control,16,Apple,101,15,0.0
320,exposed,6,Samsung,101,6,0.0
321,exposed,20,Apple,173,15,0.0
322,exposed,17,Google,101,6,0.0
323,exposed,0,Google,101,6,1.0
324,control,20,Samsung,154,6,0.0
325,control,7,Samsung,156,6,0.0
326,control,13,LG,156,6,1.0
327,control,3,Apple,101,7,0.0
328,control,16,Apple,178,7,0.0
329,exposed,18,Apple,174,7,0.0
330,exposed,20,Google,101,6,1.0
331,exposed,15,Google,101,6,1.0
332,control,4,Apple,101,15,0.0
333,control,0,Apple,174,7,0.0
334,exposed,13,Google,101,6,1.0
335,exposed,4,Google,101,6,0.0
336,exposed,23,Google,101,6,1.0
337,exposed,1,Google,101,6,1.0
338,exposed,5,Samsung,156,6,1.0
339,exposed,14,Samsung,101,6,0.0
340,exposed,23,Huawei,145,15,1.0
341,exposed,3,Samsung,101,6,1.0
342,exposed,5,Samsung,101,6,1.0
343,exposed,10,Apple,101,15,1.0
344,exposed,8,Amazon,155,6,0.0
345,exposed,6,OnePlus,162,6,1.0
346,control,1,Apple,101,7,0.0
347,exposed,6,Samsung,101,6,1.0
348,exposed,18,Apple,101,7,0.0
349,exposed,17,Apple,101,6,0.0
350,control,2,Samsung,101,6,1.0
351,exposed,23,Apple,101,7,0.0
352,control,15,Apple,174,7,0.0
353,exposed,1,Samsung,101,6,0.0
354,control,21,Apple,101,6,0.0
355,exposed,17,Apple,101,6,0.0
356,control,20,Apple,101,15,0.0
357,control,3,Apple,101,7,0.0
358,exposed,15,Google,101,6,1.0
359,exposed,4,Samsung,155,15,1.0
360,control,1,Apple,101,7,0.0
361,exposed,6,Samsung,101,6,1.0
362,exposed,0,OnePlus,162,6,1.0
363,exposed,4,Samsung,101,15,0.0
364,exposed,2,Samsung,101,6,1.0
365,exposed,21,Google,101,6,1.0
366,control,20,Apple,174,7,0.0
367,exposed,11,Samsung,101,6,1.0
368,exposed,19,Samsung,101,15,1.0
369,exposed,4,Amazon,155,15,0.0
370,exposed,17,Google,101,6,1.0
371,control,8,Apple,101,7,0.0
372,control,16,Apple,101,7,1.0
373,control,3,Apple,101,15,0.0
374,exposed,16,Samsung,101,6,1.0
375,exposed,19,Samsung,101,6,1.0
376,control,17,Apple,178,6,0.0
377,exposed,23,Apple,178,7,0.0
378,exposed,14,Google,101,6,1.0
379,exposed,3,Samsung,101,15,1.0
380,control,7,Apple,101,7,0.0
381,exposed,23,Amazon,155,6,0.0
382,control,2,Apple,101,15,1.0
383,exposed,19,Samsung,162,6,1.0
384,control,22,Apple,101,7,0.0
385,exposed,6,Samsung,101,6,1.0
386,exposed,0,Samsung,101,6,1.0
387,exposed,23,Samsung,162,6,0.0
388,exposed,2,Apple,101,15,0.0
389,exposed,9,Samsung,101,15,1.0
390,exposed,22,Samsung,101,6,1.0
391,control,7,Apple,101,7,0.0
392,exposed,17,Apple,101,7,1.0
393,control,0,Apple,101,15,0.0
394,control,3,Apple,178,7,0.0
395,exposed,20,Apple,101,15,0.0
396,exposed,18,Samsung,101,6,1.0
397,exposed,6,Google,101,6,0.0
398,exposed,0,Samsung,101,6,1.0
399,exposed,6,Samsung,101,6,1.0
400,exposed,17,Samsung,101,6,1.0
401,exposed,12,Samsung,101,6,1.0
402,exposed,3,Google,101,6,1.0
403,control,4,Apple,101,6,0.0
404,exposed,4,Samsung,101,15,1.0
405,exposed,22,Apple,101,7,0.0
406,exposed,19,Apple,101,15,0.0
407,exposed,19,Samsung,101,6,1.0
408,control,9,Apple,101,15,0.0
409,exposed,7,LG,156,6,1.0
410,control,2,Apple,101,15,0.0
411,exposed,5,Samsung,162,6,1.0
412,exposed,17,Apple,180,6,0.0
413,exposed,0,Apple,177,6,1.0
414,exposed,6,Apple,178,7,0.0
415,exposed,11,Apple,101,15,0.0
416,exposed,2,Samsung,101,6,1.0
417,exposed,2,Google,101,6,1.0
418,exposed,1,LG,155,15,1.0
419,exposed,16,Samsung,101,6,0.0
420,exposed,3,Samsung,162,6,1.0
